slug,name,url,license_url,download_url,data_access_type,description,notes,public,who_partner_status,physical_address,email,number_of_trials,coverage,record_schema_url
sactr,South African National Clinical Trials Register,http://www.sanctr.gov.za/,,,null,,,true,,,,2133,,
takeda,Takeda Clinical Trials,http://takedaclinicaltrials.com/,,,scrape,,,false,,"1-1, Doshomachi 4-chome, Chuo-ku, Osaka 540-8645, TEL: +81 6 6204-2111, FAX: +81 6 6204-2880",,1120,all,
rpcec,Cuban Public Registry of Clinical Trials(RPCEC),http://registroclinico.sld.cu/en/home,,,null,,,true,primary,"Calle 200 e/ 19 y 21, Rpto. Atabey, Playa, Ciudad de La Habana, CP 11600, CUBA",rpcec@cencec.sld.cu,201,all,
dereg,DeReG - German Registry for Somatic Gene-Transfer Trials,http://ww38.dereg.de/,,,null,,,true,partner,"Clinical Trials Center, DeReG, University Medical Center Freiburg, Elsaesser Strasse 2, D-79110 Freiburg, Germany",dereg@uniklinik-freiburg.de,0,,
ccrbctr,"Centre for Clinical Trials, University of Hong Kong",http://www2.ccrb.cuhk.edu.hk/web/,,,null,"The Centre for Clinical Research and Biostatistics – Clinical Trials Registry (CCRBCTR), provides all prospective registrants with a convenient means to submit trial registration for all countries. ",,true,partner,"Room 501-502, School of Public Health, Prince of Wales Hospital, Shatin, HK, China",cct@cuhk.edu.hk,0,all,
chictr,Chinese Clinical Trial Registry (ChiCTR),http://www.chictr.org.cn/index.aspx,,,null,,,true,primary,"No. 37, Guo Xue Xiang, Chengdu, China",chictr@scu.edu.cn,0,all,
cris,"Clinical Research Information Service (CRiS), Republic of Korea",http://public.ukcrn.org.uk/search/,,,null,,,true,primary,"363-951, 187 Osongsaengmyeong2(i)-ro, Osong-eup, Cheongwon-gun, Chungcheongbuk-do, Republic of Korea,",cris.cdc@hanmail.net,0,Republic of Korea,
ctri,Clinical Trials Registry - India (CTRI),http://ctri.nic.in/Clinicaltrials/login.php,http://www.irct.ir/,,null,,“All content of this site after verification is in public domain without charge”,true,primary,"National Institute of Medical Statistics, ICMR, Ansari Nagar, New Delhi-110029, India",ctr.nims@gmail.com,0,all,
drks,German Clinical Trials Register (DRKS),https://drks-neu.uniklinik-freiburg.de/drks_web/,,,null,,,true,primary,"University Medical Center Freiburg, Institute of Medical Biometry and Medical Informatics, Stefan-Meier-Str. 26, D-79104 Freiburg, Germany",germanctr@imbi.uni-freiburg.de,0,all,https://drks-neu.uniklinik-freiburg.de/drks_web/navigate.do?navigationId=entryfields&messageDE=Beschreibung%20der%20Eingabefelder&messageEN=Description%20of%20entry%20fields
tctr,Thai Clinical Trials Registry (TCTR),http://www.clinicaltrials.in.th/,,,null,The mission of the Thai Clinical Trials Registry (TCTR) is to encourage all clinical trials conducted in Thailand to be prospectively registered before the subject recruitment.,,true,primary,"Thai Clinical Trials Registry Administrative, Pamorn Namsanor (Project Coordinator), 3rd Fl. National Research Council of Thailand (NRCT), 196 Phaholyothin Rd, Ladyao, Chatuchak, Bangkok 10900, THAILAND, Tel : +(66) 2940 5181-3, Fax : +(66) 2940 5184",,0,all,
pactr,Pan African Clinical Trial Registry (PACTR),http://www.pactr.org/,http://www.pactr.org/ATMWeb/appmanager/atm/atmregistry?_nfpb=true&_windowLabel=mainlinks_1_1&mainlinks_1_1_actionOverride=%2Fpageflows%2FmainLinks%2Fbegin&mainlinks_1_1nodepath=%2FBEA+Repository%2FContent%2FTerms+and+Conditions,,null,,,true,primary,"South African Cochrane Centre (SACC), P.O. Box 19070, Tygerberg, 7505, South Africa",pactradmin@mrc.ac.za,0,Africa,
slctr,Sri Lanka Clinical Trials Registry (SLCTR),http://www.slctr.lk/,,,null,,,true,primary,"Sri Lanka Medical Association, No 6, Wijerama Mawatha, Colombo 7, Sri Lanka","slctr@sltnet.lk, slma@eureka.lk",0,all,
uminctr,UMIN CTR Website,http://www.umin.ac.jp/ctr/,,,null,,,true,primary,,,0,,
japiccti,JapicCTI Website,http://www.japic.or.jp/,,,null,,,true,primary,,,0,,
jmacct,JMACCT CTR Website,http://www.jmacct.med.or.jp/en/,,,null,,,true,primary,,,0,,
nihr,NIHR Clinical Research Network,https://www.crn.nihr.ac.uk/,,,download,,,true,,,,0,,
lilly,Lilly,http://lillytrials.com/,,,null,,,false,,"Eli Lilly and Company, Lilly Corporate Center, Indianapolis, Indiana 46285 USA",,0,,
pfizer,Pfizer,http://www.pfizer.com/research/clinical_trials,,,null,,"“At the outset of clinical trials, Pfizer registers those studies on clinicaltrials.gov (link is external), the U.S. National Institutes of Health’s publicly available clinical trials registry and database. After the completion of those studies, we work to provide results on clinicaltrials.gov and EudraCT within one year of study completion.”",false,,"235 East 42nd Street, NY, NY 10017, Phone: 1-212-733-2323",,0,,
prospero,International Prospective Register of Systematic Reviews,http://www.crd.york.ac.uk/prospero,,,null,,,true,,,,0,,
ppb-kenya,"Pharmacy and Poisons Board, Kenya",http://www.ctr.pharmacyboardkenya.org,,,,,,true,,,,0,,
ukcrn,UK Clinical Research Network Study Portfolio,http://public.ukcrn.org.uk/search/,,,,,,true,,,,0,,
